@relation 'Lac Leman'

@attribute 'X' numeric
@attribute 'Y' numeric
@attribute 'Cd ' numeric
@attribute 'Hg' numeric
@attribute 'Zn' numeric
@attribute 'Cu' numeric
@attribute 'Ti' numeric
@attribute 'Cr' numeric
@attribute 'V' numeric
@attribute 'Ni' numeric

@data
501,119,0.73,0.14,100,45,650,59,36,41
502,120,0.74,0.13,85,28,620,43,32,27
501,121,0.45,0.1,77,24,820,70,62,53
503,121,1.09,0.29,122,40,560,56,42,39
502,122,1.32,0.26,142,45,700,64,50,49
501,123,0.29,0.1,84,30,920,76,80,56
504,122,0.17,0.07,76,25,1060,84,78,65
503,123,0.51,0.14,72,28,550,32,26,16
502,124,0.93,0.18,119,43,710,62,47,45
504,124,0.59,0.14,80,29,450,36,30,24
503,125,1.05,0.27,121,42,650,60,46,46
505,125,0.89,0.16,84,29,450,37,31,20
504,126,1.04,0.33,118,44,640,60,46,44
503,127,0.96,0.53,134,52,690,62,47,46
506,126,0.58,0.2,83,31,440,32,26,22
504,128,1.06,0.45,146,51,760,68,53,52
507,127,0.52,0.15,53,20,500,30,29,14
506,128,1.99,0.54,150,53,720,68,52,47
505,129,1.86,0.53,156,51,690,68,52,50
504,130,0.41,0.27,81,31,1090,75,41,42
507,129,0.98,0.44,140,52,710,65,51,48
506,130,1.01,0.55,164,55,630,70,54,55
505,131,0.55,0.23,110,37,660,56,42,38
508,130,0.82,0.47,144,56,880,72,56,53
507,131,1.05,0.71,171,63,800,76,60,65
506,132,0.76,0.55,145,52,840,76,61,60
509,131,0.61,0.13,92,47,680,51,44,34
508,132,0.95,0.6,164,56,700,72,57,56
507,133,0.93,0.63,181,63,770,75,59,59
506,134,0.38,0.08,64,24,640,55,36,34
509,133,0.95,0.58,156,53,600,66,52,54
508,134,0.91,0.69,182,61,770,75,59,61
507,135,0.5,0.14,94,34,511,52,32,39
510,134,0.83,0.36,131,44,660,59,50,43
509,135,0.82,0.56,164,57,760,72,58,57
508,136,0.68,0.47,135,54,850,71,54,53
511,135,0.69,0.2,101,31,610,41,36,25
510,136,0.73,0.45,141,50,770,69,56,54
509,137,0.73,0.41,143,67,850,69,54,51
512,136,0.72,0.48,138,49,700,60,49,45
511,137,0.82,0.46,163,56,690,71,58,56
510,138,0.46,0.19,119,48,1060,67,56,45
514,136,0.2,0.03,90,31,450,35,29,23
513,137,0.69,0.4,146,48,720,67,59,50
512,138,0.78,0.63,214,64,940,87,70,70
511,139,0.37,0.1,96,50,613,37,29,24
519,133,0.25,0.07,76,25,940,50,51,29
518,134,0.41,0.12,109,33,820,56,50,37
517,135,0.54,0.27,131,36,730,58,51,44
516,136,0.34,0.07,69,23,610,34,31,17
515,137,0.64,0.54,180,57,1230,89,77,70
513,139,1.01,0.91,205,69,970,87,69,74
512,140,0.71,0.5,181,71,1040,87,68,63
520,134,0.35,0.1,78,25,890,41,45,21
519,135,0.79,0.51,168,52,950,73,60,56
518,136,0.73,0.52,154,52,860,71,58,56
517,137,0.8,0.5,178,56,1000,80,65,65
516,138,0.64,0.51,157,52,850,70,57,55
515,139,0.76,0.5,173,55,860,84,71,69
513,141,1.14,0.92,195,81,990,91,68,71
512,142,0.29,0.16,77,62,1540,65,44,29
521,135,0.38,0.23,80,25,610,37,37,26
520,136,0.84,0.44,161,52,870,71,59,55
519,137,1.08,0.8,185,61,850,80,64,65
517,139,1,0.94,184,63,950,82,65,66
515,141,1.05,0.82,180,61,1000,81,65,66
514,142,1.14,0.9,180,72,1000,89,70,69
523,135,1.21,1.23,212,82,1050,97,74,77
522,136,0.39,0.1,79,26,510,36,38,27
521,137,1.15,0.78,165,59,940,75,63,62
519,139,1.14,0.94,183,65,910,82,68,65
515,143,0.81,0.62,166,69,950,85,69,68
513,144,0.36,0.1,91,55,680,55,40,41
524,136,0.6,0.36,123,37,650,52,45,38
523,137,0.72,0.75,153,55,780,76,66,60
521,139,1.01,0.85,198,64,840,88,73,70
519,141,0.75,0.76,164,57,850,81,69,66
517,143,1.07,0.96,190,79,830,87,68,69
516,144,1.01,0.88,178,85,1030,91,71,72
525,137,0.65,0.51,144,47,750,66,56,50
524,138,0.92,0.87,151,58,880,78,68,61
523,139,0.91,0.81,187,62,840,83,70,65
519,143,1.19,0.99,196,72,980,94,75,75
517,145,0.96,0.56,171,101,1010,90,71,69
516,146,0.57,0.3,154,240,970,94,60,68
526,138,0.66,0.48,145,50,820,68,60,50
525,139,1.01,0.97,178,60,910,81,70,64
523,141,0.99,1.01,183,65,950,87,73,67
521,143,0.95,1.54,196,73,1020,96,76,79
519,145,0.77,0.45,157,73,1080,83,71,60
518,146,0.32,0.12,121,64,910,65,54,45
527,139,0.62,0.39,117,38,710,58,52,40
526,140,1.13,0.84,181,61,880,86,76,66
523,143,1.18,1.65,204,74,980,100,79,77
521,145,1.07,0.68,189,73,1070,93,75,69
528,140,0.65,0.37,133,44,790,67,66,48
527,141,1.07,0.72,186,60,790,88,79,67
523,145,1.23,1.15,219,79,1010,103,80,78
522,146,1.12,0.82,193,77,1130,95,74,70
531,139,0.51,0.08,81,32,890,55,63,37
530,140,0.63,0.08,100,36,840,58,67,40
529,141,0.71,0.12,103,39,770,62,68,43
527,143,1.71,0.39,192,64,940,94,84,76
525,145,1.47,0.42,191,66,980,94,77,72
524,146,1.47,0.37,193,68,1020,93,73,69
523,147,0.26,0.02,159,69,740,72,60,57
533,139,0.69,0.08,108,32,740,51,54,36
532,140,0.98,0.13,122,43,820,66,67,47
531,141,0.79,0.11,111,39,750,63,68,45
527,145,1.31,0.44,191,69,1020,97,81,75
525,147,1.14,0.24,169,59,1190,99,79,75
534,140,1.03,0.15,128,44,660,66,65,48
533,141,1.03,0.2,137,47,760,73,74,56
531,143,1.25,0.22,163,56,900,79,77,71
527,147,1.47,0.61,209,77,1120,103,80,81
526,148,1.33,0.61,194,81,1160,106,79,79
536,140,1.01,0.31,157,48,710,69,64,51
535,141,1.18,0.24,152,54,890,78,75,58
531,145,1.46,0.26,186,60,1020,89,80,74
527,149,0.22,0.44,162,69,1180,85,72,62
538,140,0.52,0.43,142,41,760,63,59,44
537,141,0.55,0.55,152,51,770,73,67,55
535,143,0.68,0.29,159,53,850,77,73,69
531,147,0.57,1.44,194,68,1110,107,86,82
529,149,0.22,0.61,196,64,1050,94,77,68
528,150,0.51,0.51,197,69,1180,91,75,64
540,140,0.66,0.47,131,41,1020,65,61,48
539,141,0.31,0.5,149,49,910,72,65,54
535,145,0.6,0.35,166,53,1320,95,86,77
531,149,0.98,1.49,229,90,1360,118,87,86
530,150,0.83,0.56,224,73,1270,101,79,69
529,151,0.74,0.55,216,79,1180,95,77,65
542,140,0.34,0.44,142,44,840,64,60,47
541,141,0.62,1,171,59,1070,90,81,69
539,143,0.22,0.55,129,46,2260,122,106,86
535,147,0.98,0.41,194,59,1110,90,83,78
532,150,0.78,0.69,265,89,1200,101,76,67
531,151,3.23,0.23,214,83,1140,74,72,51
544,140,1.4,0.53,152,45,690,64,58,46
543,141,0.52,0.49,117,37,1520,89,84,62
539,145,0.64,0.58,113,41,1720,101,92,70
535,149,1.39,1.26,209,71,1150,104,87,79
534,150,1.43,0.82,214,72,1220,102,83,71
533,151,1.82,0.43,190,72,930,71,60,47
546,140,0.71,0.69,132,41,1590,91,90,64
545,141,0.47,0.5,98,33,1830,88,80,62
543,143,0.4,0.47,81,30,2370,98,84,65
539,147,1.31,0.52,158,51,1290,93,86,77
537,149,1.21,0.87,184,59,1340,98,84,75
536,150,1.53,0.78,236,72,1380,107,88,75
535,151,3.29,2.29,410,125,1180,113,77,66
534,152,2.26,1.84,306,111,860,87,56,45
549,139,0.72,0.76,133,41,1050,74,70,52
548,140,0.47,0.28,120,36,1420,84,82,58
547,141,0.27,0.52,116,37,1910,97,90,68
543,145,1.31,0.54,141,43,1670,99,92,69
539,149,2.39,1.42,215,68,1490,113,97,89
538,150,2.08,0.58,199,63,1430,101,86,72
551,139,0.93,0.26,112,35,2060,91,89,62
549,141,0.52,0.36,92,29,2080,89,82,58
547,143,0.69,0.64,120,37,1690,94,89,65
543,147,1.39,0.63,185,51,1330,98,92,80
541,149,1.18,1.05,187,59,1380,103,90,77
540,150,0.9,0.61,161,56,1280,95,82,69
554,138,0.43,0.2,114,31,1790,88,84,57
553,139,0.22,0.21,93,30,2120,83,83,53
551,141,0.14,0.23,115,35,2010,96,92,65
549,143,0.65,0.23,123,37,1800,103,95,69
547,145,1.1,0.46,169,47,1460,101,93,75
544,148,0.08,0.43,158,47,1490,99,91,68
543,149,0.83,0.47,172,60,1550,104,93,73
542,150,0.93,0.71,176,78,1320,103,86,78
555,139,0.93,0.14,90,26,2080,76,79,46
554,140,0.34,0.16,104,31,1870,83,89,53
551,143,0.42,0.27,132,41,2040,103,100,70
549,145,0.43,0.29,156,42,1590,100,95,70
548,146,0.27,0.44,154,45,1660,103,90,77
547,147,0.25,0.38,141,43,1610,99,88,72
546,148,0.24,0.34,156,62,1630,106,89,78
557,139,0.54,0.19,112,32,1780,87,81,59
556,140,0.52,0.06,109,33,2200,100,87,68
551,145,0.53,0.1,122,36,1530,92,85,66
550,146,0.63,0.14,139,40,1630,98,88,71
549,147,0.34,0.03,107,36,1730,111,93,81
559,139,0.44,0.07,99,31,1640,86,77,58
558,140,0.47,0.08,120,32,1780,95,86,64
557,141,0.35,0.06,120,32,1990,101,89,68
556,142,0.44,0.06,111,32,2110,104,88,70
555,143,0.45,0.07,119,35,2040,109,90,75
554,144,0.31,0.15,122,37,1930,108,90,74
553,145,0.42,0.08,119,38,1810,101,87,72
552,146,0.56,0.19,130,39,1730,98,85,70
560,140,0.58,0.13,137,37,1810,101,89,71
559,141,0.44,0.09,130,35,1790,101,91,69
558,142,0.46,0.06,123,33,1700,94,86,65
557,143,0.52,0.09,131,36,1830,101,91,70
556,144,0.49,0.08,130,33,1730,99,87,68
560,145,0.65,0.4,170,49,1450,90,77,65
560,142,0.62,0.24,157,44,1550,98,82,72
