Soil types. 5 classes
3
X_km
Y_km
Class ID
-4.380992126e+01 -7.263858795e+01 1.000000000e+00 
5.268099785e+00 3.837844086e+01 1.000000000e+00 
-4.422584915e+01 -6.895964050e+01 1.000000000e+00 
8.186681747e+00 3.870125961e+01 1.000000000e+00 
7.441747189e+00 3.821384811e+01 1.000000000e+00 
-4.467998886e+01 -6.961966705e+01 1.000000000e+00 
-3.974827957e+01 -7.029641724e+01 1.000000000e+00 
-3.188484001e+01 -7.413902283e+01 1.000000000e+00 
1.262423992e+01 5.908279037e+01 1.000000000e+00 
6.157341003e+01 7.743422985e+00 1.000000000e+00 
-1.212120056e+00 3.044087029e+01 1.000000000e+00 
6.098403931e+01 -7.149804115e+00 1.000000000e+00 
1.400452995e+01 6.039561844e+01 1.000000000e+00 
-3.531544113e+01 -7.375583649e+01 1.000000000e+00 
6.852805328e+01 1.811067009e+01 1.000000000e+00 
2.241435051e+01 5.402653885e+01 1.000000000e+00 
5.796599960e+01 -2.884327888e+00 1.000000000e+00 
2.350934982e+01 5.290739822e+01 1.000000000e+00 
6.635949707e+01 -4.232286835e+01 1.000000000e+00 
5.994326019e+01 -3.261075020e+00 1.000000000e+00 
-1.982740021e+01 -7.229904175e+01 1.000000000e+00 
-4.319976044e+01 -6.569947815e+01 1.000000000e+00 
6.696717834e+01 -4.011891937e+01 1.000000000e+00 
-4.751211166e+01 -6.210940170e+01 1.000000000e+00 
-3.267095089e+00 3.034228086e+00 1.000000000e+00 
6.369546890e+01 -2.139252090e+01 1.000000000e+00 
-3.156068993e+01 -7.089301300e+01 1.000000000e+00 
-8.941739798e-01 1.621191025e+00 1.000000000e+00 
5.810921860e+01 -2.406197929e+01 1.000000000e+00 
7.092125702e+01 -3.327455139e+01 1.000000000e+00 
-7.564781904e-01 -1.030051041e+01 1.000000000e+00 
-1.939314008e-01 -9.853539467e+00 1.000000000e+00 
-1.535308957e+00 1.125243977e-01 1.000000000e+00 
-1.044651985e+01 4.568008900e+00 1.000000000e+00 
-3.705171967e+01 -6.693256378e+01 1.000000000e+00 
-6.590316010e+01 2.929686928e+01 1.000000000e+00 
-2.122084999e+01 2.238307953e+01 1.000000000e+00 
-1.192346001e+01 -6.105115891e+01 1.000000000e+00 
-9.942870140e+00 -6.242393875e+01 1.000000000e+00 
-1.977504921e+01 -4.687268829e+01 1.000000000e+00 
-1.809724045e+01 -4.752804947e+01 1.000000000e+00 
-1.274872971e+01 -5.364754105e+01 1.000000000e+00 
-7.229472351e+01 2.778175926e+01 1.000000000e+00 
-3.613895035e+01 -5.793788147e+01 1.000000000e+00 
-1.349472046e+01 -4.910077095e+00 1.000000000e+00 
-1.464221001e+01 -4.240088940e+00 1.000000000e+00 
-1.179131031e+01 -1.921821976e+01 1.000000000e+00 
-2.542584991e+01 -5.642901993e+01 1.000000000e+00 
-1.178592014e+01 -2.151248932e+01 1.000000000e+00 
-1.932336998e+01 -5.410802841e+01 1.000000000e+00 
-1.589002991e+01 -4.537836838e+01 1.000000000e+00 
-2.890605927e+01 -4.950057983e+01 1.000000000e+00 
-1.084805965e+01 -7.689054012e+00 1.000000000e+00 
-9.247172356e+00 -1.289706993e+01 1.000000000e+00 
-2.778171921e+01 -4.751031876e+01 1.000000000e+00 
-1.631714058e+01 -2.802491903e+00 1.000000000e+00 
-9.600958824e+00 -1.040515041e+01 1.000000000e+00 
-2.794425011e+01 -4.596620941e+01 1.000000000e+00 
-1.676641083e+01 -2.527898979e+01 1.000000000e+00 
-1.136542988e+01 -1.060070992e+01 1.000000000e+00 
-1.614657021e+01 -3.153051949e+01 1.000000000e+00 
-1.919160080e+01 -8.033523560e+00 1.000000000e+00 
-1.500716972e+01 -1.214418983e+01 1.000000000e+00 
-3.335710144e+01 -6.305852127e+01 1.000000000e+00 
-1.327431011e+01 -1.485429955e+01 1.000000000e+00 
-8.837299347e+00 -1.449345970e+01 1.000000000e+00 
-3.341522980e+01 -6.011368942e+01 1.000000000e+00 
-1.778961945e+01 -4.207054901e+01 1.000000000e+00 
-2.430938911e+01 7.029832840e+00 1.000000000e+00 
-1.046417046e+01 -1.491073036e+01 1.000000000e+00 
-1.233646011e+01 -3.364215088e+01 1.000000000e+00 
-2.612096024e+01 -2.117615938e-01 1.000000000e+00 
-1.269851017e+01 -2.793519020e+01 1.000000000e+00 
-2.526637077e+01 -4.617214966e+01 1.000000000e+00 
-1.540091991e+01 -1.016497040e+01 1.000000000e+00 
-2.284918976e+01 -1.447292042e+01 1.000000000e+00 
-2.502837944e+01 -2.051044083e+01 1.000000000e+00 
-2.174448013e+01 -9.963285446e+00 1.000000000e+00 
-2.828643990e+01 1.859334946e+01 1.000000000e+00 
-2.370960999e+01 3.623373032e+00 1.000000000e+00 
-2.322763062e+01 -2.062862015e+01 1.000000000e+00 
-2.366461945e+01 -2.238073921e+01 1.000000000e+00 
-3.560842133e+01 1.121566963e+01 1.000000000e+00 
-4.757838058e+01 -4.507455826e+01 1.000000000e+00 
-2.125225067e+01 -7.113436222e+00 1.000000000e+00 
-3.005318069e+01 -1.214896011e+01 1.000000000e+00 
-2.494396019e+01 -1.020326996e+01 1.000000000e+00 
-3.293861008e+01 -5.087836075e+01 1.000000000e+00 
-1.584469032e+01 -3.539464951e+01 1.000000000e+00 
-2.621649933e+01 -1.911447906e+01 1.000000000e+00 
-3.867192078e+01 -5.091952896e+01 1.000000000e+00 
-2.757259941e+01 -2.954970932e+01 1.000000000e+00 
-7.232971191e+01 1.928816032e+01 1.000000000e+00 
-3.746147919e+01 3.667790890e+00 1.000000000e+00 
-2.768741035e+01 -1.222961044e+01 1.000000000e+00 
-3.617810822e+01 6.443966866e+00 1.000000000e+00 
-2.393979073e+01 -5.204216003e+00 1.000000000e+00 
-3.711437988e+01 -1.171699047e+01 1.000000000e+00 
-7.887383270e+01 2.849482918e+01 1.000000000e+00 
-6.370598984e+01 1.013381004e+01 1.000000000e+00 
-3.499316025e+01 -4.323564911e+01 1.000000000e+00 
-5.945753098e+01 -3.255314112e+00 1.000000000e+00 
-2.986021042e+01 -4.118125916e+01 1.000000000e+00 
-4.072544098e+01 -1.359659958e+01 1.000000000e+00 
-3.310282898e+01 -1.427563953e+01 1.000000000e+00 
-3.133996964e+01 4.577645779e+00 1.000000000e+00 
-3.132088089e+01 -2.341000938e+01 1.000000000e+00 
-5.184595871e+01 -4.965373993e+01 1.000000000e+00 
-3.382294083e+01 6.089698076e-01 1.000000000e+00 
-3.873019028e+01 -3.341820955e+00 1.000000000e+00 
-2.637290955e+01 -7.746504784e+00 1.000000000e+00 
-3.137689018e+01 -2.681034088e+01 1.000000000e+00 
-3.683798981e+01 -1.503493977e+01 1.000000000e+00 
-3.822903061e+01 -4.846080017e+01 1.000000000e+00 
-3.209133148e+01 -3.597832870e+01 1.000000000e+00 
-3.383763123e+01 -1.166022015e+01 1.000000000e+00 
-6.203321075e+01 1.031647968e+01 1.000000000e+00 
-4.111106110e+01 -2.093438911e+01 1.000000000e+00 
-4.302523041e+01 -2.794454002e+01 1.000000000e+00 
-3.355661011e+01 -4.361855030e+00 1.000000000e+00 
-4.218022156e+01 -3.874309921e+01 1.000000000e+00 
-4.282384872e+01 -8.467620850e+00 1.000000000e+00 
-4.360232925e+01 -2.159285927e+01 1.000000000e+00 
-4.585324860e+01 -2.730319023e+01 1.000000000e+00 
-3.757994080e+01 -6.505249977e+00 1.000000000e+00 
-4.088241959e+01 -3.471292114e+01 1.000000000e+00 
-5.377682114e+01 -3.115844917e+01 1.000000000e+00 
-4.753844833e+01 -3.103326988e+01 1.000000000e+00 
-6.202684021e+01 8.221062660e+00 1.000000000e+00 
-4.117734909e+01 -2.935926056e+01 1.000000000e+00 
-5.663240051e+01 -1.777146912e+01 1.000000000e+00 
-4.230062866e+01 -2.447567940e+01 1.000000000e+00 
-5.599903870e+01 -1.377560997e+01 1.000000000e+00 
-4.106103897e+01 -2.468737030e+01 1.000000000e+00 
5.739730072e+01 3.786116028e+01 2.000000000e+00 
6.198104858e+01 2.833997917e+01 2.000000000e+00 
6.012668991e+01 4.011312103e+01 2.000000000e+00 
